Rk,Player,Nation,Pos,Teams,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
1,Wessam Abou Ali,ps PLE,FW,Al Ahly,26-162,"1,999",1,1,78,1,0,0,0,0,0,0,0,0
2,Afsha,eg EGY,MF,Al Ahly,29-101,"1,996",1,0,12,0,0,0,0,0,0,0,0,0
3,Noah Allen,us USA,DF,Inter Miami,21-048,"2,004",1,1,90,1,0,0,0,0,0,0,0,0
4,Tadeo Allende,ar ARG,MF,Inter Miami,26-115,"1,999",1,1,80,1,0,0,0,0,0,0,0,0
5,Emam Ashour,eg EGY,MF, Al Ahly,27-115,"1,998",1,1,13,0,0,0,0,0,0,0,0,0
6,Marwan Attia,eg EGY,MF,eg Al Ahly,26-307,"1,998",1,1,90,1,0,0,0,0,0,0,1,0
7,Tomás Avilés,ar ARG,DF,Inter Miami,21-132,"2,004",1,1,45,1,0,0,0,0,0,0,1,0
8,Sergio Busquets,es ESP,MF,Inter Miami,36-334,"1,988",1,1,90,1,0,0,0,0,0,0,1,0
9,Ben Cremaschi,us USA,MF,Inter Miami,20-105,"2,005",1,0,18,0,0,0,0,0,0,0,0,0
10,Achraf Dari,ma MAR,DF,Al Ahly,26-040,"1,999",1,1,90,1,0,0,0,0,0,0,0,0
11,Maximiliano Falcón,uy URU,DF,Inter Miami,28-045,"1,997",1,1,90,1,0,0,0,0,0,0,0,0
12,Hamdy Fathy,eg EGY,MF,Al Ahly,30-259,"1,994",1,1,90,1,0,0,0,0,0,0,0,0
13,Ian Fray,us USA,DF,us Inter Miami,22-288,"2,002",1,1,90,1,0,0,0,0,0,0,0,0
14,Nejc Gradišar,si SVN,FW,eg Al Ahly,22-313,"2,002",1,0,12,0,0,0,0,0,0,0,0,0
15,Mohamed Hany,eg EGY,DF,eg Al Ahly,29-141,"1,996",1,1,90,1,0,0,0,0,0,0,0,0
16,Yasser Ibrahim,eg EGY,DF,eg Al Ahly,32-125,"1,993",1,1,90,1,0,0,0,0,0,0,0,0
17,Lionel Messi,ar ARG,FW,us Inter Miami,37-356,"1,987",1,1,90,1,0,0,0,0,0,0,0,0
18,Taher Mohamed,eg EGY,FW,eg Al Ahly,28-100,"1,997",1,0,26,0,0,0,0,0,0,0,0,0
19,Ahmed Nabil Koka,eg EGY,DF,eg Al Ahly,23-346,"2,001",1,1,90,1,0,0,0,0,0,0,0,0
20,Fafà Picault,ht HAI,"FW,MF",us Inter Miami,34-112,"1,991",1,0,10,0.1,0,0,0,0,0,0,0,0
21,Federico Redondo,ar ARG,MF,us Inter Miami,22-148,2003,1,1,90,1,0,0,0,0,0,0,1,0
22,Mohamed Ali Ben Romdhane,tn TUN,MF,eg Al Ahly,25-282,1999,1,1,64,0.7,0,0,0,0,0,0,0,0
23,Ahmed Sayed,eg EGY,MF,eg Al Ahly,29-156,1996,1,0,65,0.7,0,0,0,0,0,0,0,0
24,Telasco Segovia,ve VEN,MF,us Inter Miami,22-074,2003,1,1,72,0.8,0,0,0,0,0,0,0,0
25,Hussein El Shahat,eg EGY,MF,eg Al Ahly,32-359,1992,1,0,26,0.3,0,0,0,0,0,0,0,0