Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
nl Ajax,31,26.3,50.1,12,132,"1,110",12.3,21,11,32,18,3,3,30,2,20.5,18.1,12.4,30.5,195,406,1.7,0.89,2.59,1.46,2.35,1.66,1.01,2.67,1.47,2.47
be Anderlecht,30,26.5,55.2,10,110,900,10,16,11,27,15,1,1,17,1,11.5,10.8,7.8,18.6,192,411,1.6,1.1,2.7,1.5,2.6,1.15,0.78,1.93,1.08,1.86
es Athletic Club,27,27.8,52.6,14,154,"1,260",14,22,18,40,21,1,2,34,2,20.2,18.6,15.5,34.1,285,647,1.57,1.29,2.86,1.5,2.79,1.44,1.1,2.55,1.33,2.43
nl AZ Alkmaar,26,24,46.8,12,132,"1,080",12,20,8,28,18,2,2,29,2,21.7,20.1,14,34.1,204,445,1.67,0.67,2.33,1.5,2.17,1.81,1.17,2.97,1.67,2.84
tr Beşiktaş,23,28.7,51.3,8,88,720,8,10,7,17,9,1,3,26,0,12.6,10.3,6.7,17,144,271,1.25,0.87,2.12,1.13,2,1.57,0.84,2.41,1.29,2.12
no Bodø/Glimt,26,26.7,52.4,16,176,"1,500",16.7,25,22,47,23,2,2,27,2,23.7,22.2,19.3,41.5,332,638,1.5,1.32,2.82,1.38,2.7,1.42,1.16,2.58,1.33,2.49
pt Braga,25,26.7,51.4,8,88,720,8,8,4,12,7,1,1,18,4,12.4,11.6,9.6,21.3,133,317,1,0.5,1.5,0.87,1.37,1.54,1.2,2.75,1.45,2.66
ua Dynamo Kyiv,27,25.8,50.6,8,88,720,8,5,4,9,5,0,0,18,2,4.5,4.5,3.9,8.4,125,270,0.62,0.5,1.13,0.62,1.13,0.56,0.48,1.05,0.56,1.05
de Eint Frankfurt,25,25.6,54.1,12,132,"1,080",12,21,15,36,19,2,2,24,0,16.6,15,12.4,27.4,159,520,1.75,1.25,3,1.58,2.83,1.38,1.03,2.41,1.25,2.28
se Elfsborg,22,26.9,30.8,8,88,720,8,9,7,16,7,2,2,13,1,7.3,5.7,4.3,10,70,176,1.13,0.87,2,0.87,1.75,0.91,0.54,1.45,0.71,1.26
ro FCSB,27,28.7,41.3,12,132,"1,080",12,15,7,22,15,0,0,36,2,11.5,11.5,8.2,19.7,129,258,1.25,0.58,1.83,1.25,1.83,0.96,0.68,1.64,0.96,1.64
tr Fenerbahçe,25,29.5,51.4,12,132,"1,110",12.3,16,13,29,16,0,1,43,2,16.1,15.3,13.3,28.6,157,514,1.3,1.05,2.35,1.3,2.35,1.3,1.08,2.38,1.24,2.32
hu Ferencváros,27,28.7,44.1,10,110,900,10,15,10,25,13,2,2,21,0,11.5,10,7.8,17.8,139,319,1.5,1,2.5,1.3,2.3,1.15,0.78,1.93,1,1.78
lv FK Rīgas FS,19,27.7,37.1,8,88,720,8,5,3,8,5,0,1,10,0,6.4,5.6,4.2,9.8,93,214,0.62,0.37,1,0.62,1,0.8,0.53,1.33,0.7,1.23
tr Galatasaray,26,29.3,58.1,10,110,900,10,20,12,32,19,1,1,24,1,21,20.3,14.9,35.2,183,513,2,1.2,3.2,1.9,3.1,2.1,1.49,3.58,2.03,3.52
de Hoffenheim,29,26.9,53.3,8,88,720,8,10,8,18,10,0,0,15,0,11.5,11.5,8.5,20,128,310,1.25,1,2.25,1.25,2.25,1.44,1.07,2.5,1.44,2.5
it Lazio,24,28.5,52.3,12,132,"1,110",12.3,23,20,43,22,1,1,28,3,19.3,18.5,15.4,33.8,274,539,1.86,1.62,3.49,1.78,3.41,1.56,1.25,2.81,1.5,2.74
bg Ludogorets,23,28.1,45.1,8,88,720,8,4,3,7,4,0,1,22,1,7.9,7.2,5.7,12.9,112,170,0.5,0.37,0.87,0.5,0.87,0.99,0.72,1.71,0.9,1.62
fr Lyon,27,27.8,56.2,12,132,"1,110",12.3,29,22,51,28,1,1,26,1,22.4,21.6,16.6,38.2,271,524,2.35,1.78,4.14,2.27,4.05,1.82,1.34,3.16,1.75,3.09
il Maccabi Tel Aviv,23,26.2,44.3,8,88,720,8,8,6,14,7,1,1,19,2,10.1,9.3,6.9,16.2,111,257,1,0.75,1.75,0.87,1.62,1.26,0.86,2.12,1.16,2.02
se Malmö,24,27.8,53.1,8,88,720,8,10,6,16,9,1,2,22,1,12,10.4,8,18.4,109,306,1.25,0.75,2,1.13,1.87,1.5,1,2.5,1.3,2.3
Manchester Utd,28,26.5,57.1,14,154,"1,290",14.3,34,26,60,30,4,4,28,1,31,27.9,23.8,51.6,316,649,2.37,1.81,4.19,2.09,3.91,2.16,1.66,3.82,1.95,3.6
dk Midtjylland,25,25.1,47.1,10,110,900,10,11,9,20,10,1,1,12,1,14,13.2,11.3,24.5,155,341,1.1,0.9,2,1,1.9,1.4,1.13,2.53,1.32,2.45
fr Nice,27,25.3,54.4,8,88,720,8,7,5,12,7,0,1,18,2,10.5,9.7,8.1,17.8,182,321,0.87,0.62,1.5,0.87,1.5,1.31,1.01,2.32,1.21,2.22
gr Olympiacos,26,26.7,49.5,10,110,900,10,11,10,21,11,0,3,19,1,17.2,14.8,12.3,27.1,162,445,1.1,1,2.1,1.1,2.1,1.72,1.23,2.95,1.48,2.71
gr PAOK,23,29.6,52.7,10,110,900,10,13,9,22,11,2,2,20,1,15,13.4,11.1,24.5,148,385,1.3,0.9,2.2,1.1,2,1.5,1.11,2.61,1.34,2.45
pt Porto,26,24.8,52.1,10,110,900,10,15,10,25,14,1,1,26,1,12.7,11.9,8.7,20.6,189,395,1.5,1,2.5,1.4,2.4,1.27,0.87,2.14,1.19,2.06
az Qarabağ,22,28.7,54.8,8,88,720,8,5,3,8,4,1,2,20,2,9.2,7.6,6.5,14.1,164,359,0.62,0.37,1,0.5,0.87,1.14,0.82,1.96,0.95,1.76
sct Rangers,29,27.3,41.3,12,132,"1,110",12.3,19,14,33,19,0,0,30,1,17.6,17.6,11.9,29.5,193,347,1.54,1.14,2.68,1.54,2.68,1.43,0.96,2.39,1.43,2.39
es Real Sociedad,29,26.3,51.1,12,132,"1,080",12,22,13,35,18,4,5,34,2,21.3,17.3,13,30.3,202,426,1.83,1.08,2.92,1.5,2.58,1.78,1.08,2.86,1.44,2.53
it Roma,23,27.4,54.8,12,132,"1,080",12,17,13,30,15,2,2,27,2,19.5,18,14,32,210,488,1.42,1.08,2.5,1.25,2.33,1.62,1.17,2.79,1.5,2.67
cz Slavia Prague,24,25.9,56.9,8,88,720,8,7,6,13,7,0,0,22,0,10.8,10.8,8.9,19.7,150,346,0.87,0.75,1.62,0.87,1.62,1.35,1.11,2.46,1.35,2.46
Tottenham,30,25.8,52.4,14,154,"1,260",14,27,20,47,23,4,4,20,2,22.9,19.8,16,35.9,301,601,1.93,1.43,3.36,1.64,3.07,1.63,1.15,2.78,1.42,2.56
nl Twente,24,26.7,45.6,10,110,930,10.3,11,6,17,8,3,4,26,2,12.5,9.4,7.2,16.6,149,328,1.06,0.58,1.65,0.77,1.35,1.21,0.69,1.9,0.91,1.61
be Union SG,20,26.1,50.3,10,110,930,10.3,10,7,17,9,1,2,36,3,18.4,17.1,13.6,30.8,197,451,0.97,0.68,1.65,0.87,1.55,1.78,1.32,3.1,1.66,2.98
cz Viktoria Plzeň,25,26.6,41.2,12,132,"1,080",12,18,16,34,18,0,1,21,2,15.1,14.3,11,25.3,127,383,1.5,1.33,2.83,1.5,2.83,1.25,0.92,2.17,1.19,2.1