Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,38,86,647,209,32,17.03,5.5,0.12,0.36,16,6,10,10,76.1,68.5,0.11,9.9,7.5,868,1874,1.82,1.37,3.18,1.71,3.08,1.58,1.23,2.81,1.47,2.7
Aston Villa,31,38,72,511,182,36,13.45,4.79,0.13,0.37,16,15,4,4,63.3,60.3,0.12,8.7,7.7,738,1435,1.45,1.13,2.58,1.26,2.39,1.4,1.02,2.42,1.22,2.24
Bournemouth,30,38,52,539,175,33,14.18,4.61,0.09,0.29,17,18,2,3,55.9,53.6,0.1,-3.9,-3.6,475,1150,0.92,0.63,1.55,0.79,1.42,0.93,0.64,1.57,0.81,1.45
Brentford,28,38,54,470,159,34,12.37,4.18,0.11,0.32,16,17,3,3,58.2,56,0.12,-4.2,-5,421,1032,1.13,0.84,1.97,1.08,1.92,1.17,0.82,1.99,1.13,1.95
Brighton,30,38,50,555,198,36,14.61,5.21,0.08,0.23,17,11,5,6,56.8,52.2,0.1,-6.8,-7.2,434,918,0.87,0.53,1.39,0.79,1.32,1.11,0.73,1.84,1.03,1.76
Burnley,31,38,40,430,137,32,11.32,3.61,0.09,0.27,18,13,3,3,40.6,38.3,0.09,-0.6,-1.3,1058,2155,1.61,1.37,2.97,1.47,2.84,1.54,1.18,2.72,1.44,2.62
Chelsea,32,38,76,537,194,36,14.13,5.11,0.12,0.34,17,22,11,12,74.5,65.1,0.12,1.5,-0.1,771,1458,1.26,0.87,2.13,1,1.87,1.25,0.78,2.03,1.03,1.81
Crystal Palace,26,38,56,452,162,36,11.89,4.26,0.12,0.32,17,20,4,4,48.6,45.4,0.1,7.4,6.6,697,1581,1.39,0.89,2.29,1.34,2.24,1.31,0.89,2.19,1.2,2.09
Everton,26,38,40,504,152,30,13.26,4,0.08,0.25,17,14,2,3,54,51.6,0.11,-14,-13.6,628,1487,0.87,0.63,1.5,0.82,1.45,1.09,0.79,1.88,1.03,1.82
Fulham,25,38,54,499,175,35,13.13,4.61,0.1,0.3,17,14,2,2,50.8,49.2,0.1,3.2,2.8,601,1248,0.55,0.34,0.89,0.53,0.87,0.76,0.52,1.28,0.74,1.26
Liverpool,30,38,80,781,263,34,20.55,6.92,0.09,0.28,17,18,6,9,87.8,80.4,0.11,-7.8,-6.4,752,1537,1.26,0.89,2.16,1.13,2.03,1.38,0.99,2.37,1.24,2.23
Luton Town,28,38,49,427,134,31,11.24,3.53,0.1,0.33,16,11,5,5,42.4,38.6,0.09,6.6,5.4,857,2008,2.26,1.45,3.71,2.08,3.53,1.94,1.31,3.25,1.8,3.11
Manchester City,25,38,94,683,264,39,17.97,6.95,0.12,0.32,17,25,9,10,80.5,72.9,0.11,13.5,12.1,1325,2429,2.39,1.87,4.26,2.32,4.18,2.22,1.72,3.94,2.14,3.86
Manchester Utd,31,38,57,543,182,34,14.29,4.79,0.09,0.28,17,15,6,7,56.5,51,0.1,0.5,0,801,1668,1.71,1.05,2.76,1.47,2.53,1.62,1.04,2.66,1.37,2.41
Newcastle Utd,32,38,83,542,196,36,14.26,5.16,0.14,0.38,16,9,8,9,76,69,0.13,7,6,467,985,1.08,0.87,1.95,1.05,1.92,1.03,0.72,1.75,0.97,1.69
Nott'ham Forest,33,38,49,450,143,32,11.84,3.76,0.11,0.34,17,7,1,1,49.9,49.1,0.11,-0.9,-1.1,603,1333,1.16,0.71,1.87,1.05,1.76,1.23,0.77,2,1.14,1.91
Sheffield Utd,35,38,31,360,117,33,9.47,3.08,0.07,0.22,17,8,5,5,38.3,34.5,0.1,-7.3,-8.5,840,1744,1.74,1.24,2.97,1.63,2.87,1.44,1.03,2.47,1.36,2.39
Tottenham,29,38,69,582,207,36,15.32,5.45,0.12,0.32,17,11,2,2,68.2,66.7,0.12,0.8,0.3,588,1294,1.34,1.03,2.37,1.32,2.34,1.27,0.92,2.19,1.25,2.17
West Ham,26,38,58,445,146,33,11.71,3.84,0.12,0.37,16,17,4,5,52.3,48.4,0.11,5.7,5.6,731,1478,1.34,0.87,2.21,1.21,2.08,1.25,0.9,2.15,1.15,2.05
Wolves,27,38,47,425,153,36,11.18,4.03,0.1,0.28,17,12,4,4,46.7,43.6,0.11,0.3,-0.6,743,1350,1.21,0.92,2.13,1.11,2.03,1.37,1.04,2.41,1.29,2.33